"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Sat Jun 08 00:12:06 GMT 2024","Sat Jun 08 00:12:06 GMT 2024","2","Surefire suite","Surefire test","NoDriverTest","NoDriverTest","testFail","testFail",""
"passed","Sat Jun 08 00:12:14 GMT 2024","Sat Jun 08 00:12:15 GMT 2024","1040","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Sat Jun 08 00:12:06 GMT 2024","Sat Jun 08 00:12:06 GMT 2024","6","Surefire suite","Surefire test","NoDriverTest","NoDriverTest","testPass","testPass",""
"passed","Sat Jun 08 00:12:16 GMT 2024","Sat Jun 08 00:12:16 GMT 2024","632","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","To verify that navigating to the base URL of the website opens the correct page by checking the URL and the title of the loaded page."
"passed","Sat Jun 08 00:12:11 GMT 2024","Sat Jun 08 00:12:13 GMT 2024","1391","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Sat Jun 08 00:12:10 GMT 2024","Sat Jun 08 00:12:11 GMT 2024","1296","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Sat Jun 08 00:12:08 GMT 2024","Sat Jun 08 00:12:10 GMT 2024","1311","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Sat Jun 08 00:12:13 GMT 2024","Sat Jun 08 00:12:14 GMT 2024","1077","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Sat Jun 08 00:12:07 GMT 2024","Sat Jun 08 00:12:08 GMT 2024","1152","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
