"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 19 18:08:53 GMT 2024","Wed Jun 19 18:08:57 GMT 2024","3656","CrossBrowser","ChromeTest","com.lumatest.test.ProductPageTest","com.lumatest.test.ProductPageTest","testProductDrivenBackpack","TC-03 Verify Product Details on Product Page","To verify that the product page displays the correct product name and breadcrumb menu text for the 'Driven Backpack'."
"passed","Wed Jun 19 18:09:04 GMT 2024","Wed Jun 19 18:09:05 GMT 2024","1364","CrossBrowser","EdgeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"unknown","Wed Jun 19 18:08:34 GMT 2024","Wed Jun 19 18:08:34 GMT 2024","1","Surefire suite","Surefire test","FrameworkTest","FrameworkTest","testFail","testFail",""
"passed","Wed Jun 19 18:08:51 GMT 2024","Wed Jun 19 18:08:52 GMT 2024","1442","CrossBrowser","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jun 19 18:09:01 GMT 2024","Wed Jun 19 18:09:02 GMT 2024","1801","CrossBrowser","EdgeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jun 19 18:09:09 GMT 2024","Wed Jun 19 18:09:11 GMT 2024","2113","CrossBrowser","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jun 19 18:09:26 GMT 2024","Wed Jun 19 18:09:30 GMT 2024","4537","CrossBrowser","FirefoxTest","com.lumatest.test.ProductPageTest","com.lumatest.test.ProductPageTest","testProductDrivenBackpack","TC-03 Verify Product Details on Product Page","To verify that the product page displays the correct product name and breadcrumb menu text for the 'Driven Backpack'."
"passed","Wed Jun 19 18:09:14 GMT 2024","Wed Jun 19 18:09:16 GMT 2024","2156","CrossBrowser","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jun 19 18:08:55 GMT 2024","Wed Jun 19 18:08:57 GMT 2024","2332","CrossBrowser","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jun 19 18:08:52 GMT 2024","Wed Jun 19 18:08:53 GMT 2024","867","CrossBrowser","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","To verify that navigating to the base URL of the website opens the correct page by checking the URL and the title of the loaded page."
"passed","Wed Jun 19 18:08:46 GMT 2024","Wed Jun 19 18:08:47 GMT 2024","1350","CrossBrowser","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jun 19 18:08:44 GMT 2024","Wed Jun 19 18:08:46 GMT 2024","1341","CrossBrowser","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jun 19 18:09:00 GMT 2024","Wed Jun 19 18:09:02 GMT 2024","2348","CrossBrowser","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jun 19 18:09:18 GMT 2024","Wed Jun 19 18:09:20 GMT 2024","1848","CrossBrowser","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jun 19 18:08:58 GMT 2024","Wed Jun 19 18:08:59 GMT 2024","1502","CrossBrowser","EdgeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jun 19 18:09:22 GMT 2024","Wed Jun 19 18:09:23 GMT 2024","1236","CrossBrowser","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","To verify that navigating to the base URL of the website opens the correct page by checking the URL and the title of the loaded page."
"passed","Wed Jun 19 18:09:14 GMT 2024","Wed Jun 19 18:09:18 GMT 2024","3498","CrossBrowser","EdgeTest","com.lumatest.test.ProductPageTest","com.lumatest.test.ProductPageTest","testProductDrivenBackpack","TC-03 Verify Product Details on Product Page","To verify that the product page displays the correct product name and breadcrumb menu text for the 'Driven Backpack'."
"passed","Wed Jun 19 18:08:48 GMT 2024","Wed Jun 19 18:08:49 GMT 2024","1235","CrossBrowser","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jun 19 18:08:34 GMT 2024","Wed Jun 19 18:08:34 GMT 2024","8","Surefire suite","Surefire test","FrameworkTest","FrameworkTest","testPass","testPass",""
"passed","Wed Jun 19 18:09:05 GMT 2024","Wed Jun 19 18:09:07 GMT 2024","1798","CrossBrowser","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jun 19 18:08:53 GMT 2024","Wed Jun 19 18:08:57 GMT 2024","4133","CrossBrowser","EdgeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jun 19 18:09:09 GMT 2024","Wed Jun 19 18:09:11 GMT 2024","1624","CrossBrowser","EdgeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jun 19 18:09:12 GMT 2024","Wed Jun 19 18:09:13 GMT 2024","935","CrossBrowser","EdgeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","To verify that navigating to the base URL of the website opens the correct page by checking the URL and the title of the loaded page."
"passed","Wed Jun 19 18:08:42 GMT 2024","Wed Jun 19 18:08:44 GMT 2024","2106","CrossBrowser","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jun 19 18:08:49 GMT 2024","Wed Jun 19 18:08:50 GMT 2024","1292","CrossBrowser","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jun 19 18:09:06 GMT 2024","Wed Jun 19 18:09:08 GMT 2024","1386","CrossBrowser","EdgeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
